area,year,arxiv_count,query_terms,query,status
"LLM Reasoning, Post-Training, and RLVR",2024,25212,"""large language model""; reasoning; ""chain of thought""; ""reinforcement learning from human feedback""; ""preference optimization""; RLVR","(all:""large language model"" OR all:reasoning OR all:""chain of thought"" OR all:""reinforcement learning from human feedback"" OR all:""preference optimization"" OR all:RLVR) AND submittedDate:[202401010000 TO 202412312359]",ok
"LLM Reasoning, Post-Training, and RLVR",2025,40308,"""large language model""; reasoning; ""chain of thought""; ""reinforcement learning from human feedback""; ""preference optimization""; RLVR","(all:""large language model"" OR all:reasoning OR all:""chain of thought"" OR all:""reinforcement learning from human feedback"" OR all:""preference optimization"" OR all:RLVR) AND submittedDate:[202501010000 TO 202512312359]",ok
"LLM Reasoning, Post-Training, and RLVR",2026,28017,"""large language model""; reasoning; ""chain of thought""; ""reinforcement learning from human feedback""; ""preference optimization""; RLVR","(all:""large language model"" OR all:reasoning OR all:""chain of thought"" OR all:""reinforcement learning from human feedback"" OR all:""preference optimization"" OR all:RLVR) AND submittedDate:[202601010000 TO 202607142359]",ok
"Multimodal, Vision, and Perception",2024,7381,"multimodal; ""vision language""; ""video understanding""; ""visual reasoning""; ""3D vision""","(all:multimodal OR all:""vision language"" OR all:""video understanding"" OR all:""visual reasoning"" OR all:""3D vision"") AND submittedDate:[202401010000 TO 202412312359]",ok
"Multimodal, Vision, and Perception",2025,14363,"multimodal; ""vision language""; ""video understanding""; ""visual reasoning""; ""3D vision""","(all:multimodal OR all:""vision language"" OR all:""video understanding"" OR all:""visual reasoning"" OR all:""3D vision"") AND submittedDate:[202501010000 TO 202512312359]",ok
"Multimodal, Vision, and Perception",2026,11173,"multimodal; ""vision language""; ""video understanding""; ""visual reasoning""; ""3D vision""","(all:multimodal OR all:""vision language"" OR all:""video understanding"" OR all:""visual reasoning"" OR all:""3D vision"") AND submittedDate:[202601010000 TO 202607142359]",ok
"Theory, Optimization, and Algorithms",2024,45876,"""learning theory""; optimization; regret; bandit; bayesian; probabilistic","(all:""learning theory"" OR all:optimization OR all:regret OR all:bandit OR all:bayesian OR all:probabilistic) AND submittedDate:[202401010000 TO 202412312359]",ok
"Theory, Optimization, and Algorithms",2025,59644,"""learning theory""; optimization; regret; bandit; bayesian; probabilistic","(all:""learning theory"" OR all:optimization OR all:regret OR all:bandit OR all:bayesian OR all:probabilistic) AND submittedDate:[202501010000 TO 202512312359]",ok
"Theory, Optimization, and Algorithms",2026,38799,"""learning theory""; optimization; regret; bandit; bayesian; probabilistic","(all:""learning theory"" OR all:optimization OR all:regret OR all:bandit OR all:bayesian OR all:probabilistic) AND submittedDate:[202601010000 TO 202607142359]",ok
"AI for Science, Health, and Neuro",2024,75334,"protein; molecule; chemistry; physics; genomics; medical; ""time series""","(all:protein OR all:molecule OR all:chemistry OR all:physics OR all:genomics OR all:medical OR all:""time series"") AND submittedDate:[202401010000 TO 202412312359]",ok
"AI for Science, Health, and Neuro",2025,86591,"protein; molecule; chemistry; physics; genomics; medical; ""time series""","(all:protein OR all:molecule OR all:chemistry OR all:physics OR all:genomics OR all:medical OR all:""time series"") AND submittedDate:[202501010000 TO 202512312359]",ok
"AI for Science, Health, and Neuro",2026,53631,"protein; molecule; chemistry; physics; genomics; medical; ""time series""","(all:protein OR all:molecule OR all:chemistry OR all:physics OR all:genomics OR all:medical OR all:""time series"") AND submittedDate:[202601010000 TO 202607142359]",ok
"Data-Centric, Causal, and Federated ML",2024,5914,"causal; causality; ""data selection""; ""continual learning""; ""federated learning""","(all:causal OR all:causality OR all:""data selection"" OR all:""continual learning"" OR all:""federated learning"") AND submittedDate:[202401010000 TO 202412312359]",ok
"Data-Centric, Causal, and Federated ML",2025,7565,"causal; causality; ""data selection""; ""continual learning""; ""federated learning""","(all:causal OR all:causality OR all:""data selection"" OR all:""continual learning"" OR all:""federated learning"") AND submittedDate:[202501010000 TO 202512312359]",ok
"Data-Centric, Causal, and Federated ML",2026,5842,"causal; causality; ""data selection""; ""continual learning""; ""federated learning""","(all:causal OR all:causality OR all:""data selection"" OR all:""continual learning"" OR all:""federated learning"") AND submittedDate:[202601010000 TO 202607142359]",ok
Systems and Efficient Foundation Models,2024,19235,"quantization; compression; ""KV cache""; serving; throughput; latency; MoE","(all:quantization OR all:compression OR all:""KV cache"" OR all:serving OR all:throughput OR all:latency OR all:MoE) AND submittedDate:[202401010000 TO 202412312359]",ok
