area,icml2026_count,icml2026_share,icml2025_share,neurips2025_share,iclr2026_share,baseline_avg_share,delta_vs_baseline_avg,relative_to_baseline_avg
"LLM Reasoning, Post-Training, and RLVR",848,0.1279,0.0776,0.0855,0.1348,0.0993,0.0286,1.29
Systems and Efficient Foundation Models,351,0.053,0.0305,0.0222,0.0417,0.0315,0.0215,1.68
"Agents, Code, and Tool Use",455,0.0686,0.041,0.0365,0.0658,0.0478,0.0208,1.44
"Safety, Governance, Privacy, and Society",601,0.0907,0.0797,0.0724,0.0803,0.0775,0.0132,1.17
"Graphs, Geometry, and Representation Learning",497,0.075,0.0722,0.0589,0.0569,0.0627,0.0123,1.2
Reinforcement Learning and Control,517,0.078,0.0608,0.0623,0.0832,0.0688,0.0092,1.13
"AI for Science, Health, and Neuro",625,0.0943,0.0898,0.0836,0.0832,0.0855,0.0088,1.1
"Theory, Optimization, and Algorithms",852,0.1285,0.1468,0.1168,0.0975,0.1204,0.0081,1.07
Generative Modeling,487,0.0735,0.0701,0.0596,0.0766,0.0688,0.0047,1.07
"Robotics, Embodiment, and World Models",118,0.0178,0.0066,0.0154,0.0201,0.014,0.0038,1.27
"Data-Centric, Causal, and Federated ML",257,0.0388,0.0545,0.048,0.0285,0.0437,-0.0049,0.89
"Multimodal, Vision, and Perception",920,0.1388,0.0827,0.2072,0.22,0.17,-0.0312,0.82
