canonical_institution,paper_count,sector,common_raw_forms
Tsinghua University,414,Academia,"Tsinghua University; Zhejiang University, Tsinghua University; IIIS, Tsinghua University; Department of Computer Science and Technology, Tsinghua University; Department of Electronic Engineering, Tsinghua University"
Peking University,323,Academia,"Peking University; School of mathematical Science, Peking University, Peking University; Peking University, Bytedance Seed; PKU, Peking University; PKU"
Zhejiang University,295,Academia,"Zhejiang University; College of Computer Science and Technology, Zhejiang University; Zhejiang University of Technology; Zhejiang University & Westlake University; Zhejiang University & ByteDance Seed"
Shanghai Jiao Tong University,282,Academia,Shanghai Jiao Tong University; Shanghai Jiaotong University; Shanghai Jiao Tong University of China; SJTU; Shanghai Jiao tong University
Chinese Academy of Sciences,254,Research institute,"Chinese Academy of Sciences; Institute of automation, Chinese academy of science, Chinese Academy of Sciences; Institute of Automation, Chinese Academy of Sciences; Institute of Computing Technology, Chinese Academy of Sciences; Institute of Software, Chinese Academy of Sciences"
Hong Kong University of Science and Technology,254,Academia,The Hong Kong University of Science and Technology; Hong Kong University of Science and Technology; HKUST; The Hong Kong University of Science and Technology (Guangzhou); Hong Kong University of Science and Technology (Guangzhou)
The Chinese University of Hong Kong,235,Academia,"The Chinese University of Hong Kong; The Chinese University of Hong Kong, Shenzhen; CUHK; Department of Computer Science and Engineering, The Chinese University of Hong Kong; Chinese University of Hong Kong"
National University of Singapore,228,Academia,"National University of Singapore; national university of singaore, National University of Singapore; NUS; A*STAR/NUS; National University of Singapore / NVIDIA"
MIT,216,Academia,MIT; Massachusetts Institute of Technology; MIT CSAIL; MIT-IBM Watson AI Lab; Michigan State University & MIT-IBM Watson AI Lab
University of Science and Technology of China,213,Academia,"University of Science and Technology of China; USTC; University of Science and Technology of China，Qwen; University of science and technology of China; State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China"
Nanyang Technological University,209,Academia,"Nanyang Technological University; Nanyang Technological University, Singapore; NTU; Nanyang Technological University (NTU); NTU Singapore"
Fudan University,202,Academia,"Fudan University; Fudan university, and Shanghai Innovation Institution; UNC-Chapel Hill(intern), Fudan University; Fudan university; fudan university"
Alibaba,200,Industry,Alibaba Group; Ant Group; Alibaba; Alibaba International Digital Commerce Group; ANT GROUP
Carnegie Mellon University,197,Academia,"Carnegie Mellon University; CMU, Carnegie Mellon University; School of Computer Science, Carnegie Mellon University; CMU; Carnegie Mellon University & MBZUAI"
Google,185,Industry,"Google; Google Research; Google Research and Courant Institute of Mathematical Sciences; Google Brain; Google, TU Munich"
University of Hong Kong,179,Academia,"The University of Hong Kong; City University of Hong Kong; University of Hong Kong; City University of Hong Kong, Hong Kong; the University of Hong Kong, University of Hong Kong"
Stanford University,176,Academia,"Stanford University; Computer Science Department, Stanford University; Stanford; Stanford University // Virtue AI; Stanford University & Apple"
UC Berkeley,165,Academia,"University of California, Berkeley; UC Berkeley; University of California Berkeley; UC Berkeley BAIR; EECS, UC Berkeley"
Microsoft,160,Industry,"Microsoft; Microsoft Research Asia; Microsoft Research; Research, Microsoft; Microsoft Research New England"
ByteDance,155,Industry,ByteDance Inc.; ByteDance; Bytedance; ByteDance Seed; bytedance
Nanjing University,154,Academia,Nanjing University; nanjing university; Nanjing university; NanJing University; NanJing university
University of Chinese Academy of Sciences,140,Academia,"University of the Chinese Academy of Sciences; University of Chinese Academy of Sciences; University of Chinese Academy of Sciences & Nvidia Research; Institute of Computing Technology, University of the Chinese Academy of Sciences; Institute of Software Chinese Academy of Sciences, University of the Chinese Academy of Sciences"
