cluster_id,cluster_label,paper_count,share,oral_count,award_count,oral_rate,oral_enrichment,total_public_votes,votes_per_paper,public_vote_share,recent_visits_7d,top_terms,top_topic_groups,top_themes,central_papers,high_signal_papers
17,representation / machine learning / machine / general,536,0.0809,16,0,0.0299,1.18,3269,6.1,0.0541,1293,data; representation; machine learning; machine; methods; general; general machine; representations; prediction; based; representation learning; latent; probabilistic; space; distribution,General Machine Learning (184); Deep Learning (95); Probabilistic Methods (70); Applications (59); Unknown (49),"Theory, optimization, and sampling (297); Memorization, evaluation, and generalization (230); Safety, alignment, governance, and risk (206); Systems, efficiency, and compression (146); Interpretability and mechanistic analysis (110)",On the Power of Source Screening for Learning Shared Feature Extractors | Mixing Configurations for Downstream Prediction | Explicitly Modeling Censoring Produces Superior Survival Predictors | Hierarchical Retrieval at Scale: Bridging Transparency and Efficiency | Geometrically Constrained Outlier Synthesis | Relative Entropy Estimation in Function Space: Theory and Applications to Trajectory Inference | Magnitude Distance: A Geometric Measure of Dataset Similarity | Klein Hyperbolic Metric Learning,Learning to Theorize the World from Observation | A Systematic Study of Behavioral Cloning for Scientific Data Annotation | Less is Enough: Synthesizing Diverse Data in Feature Space of LLMs | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Exact Functional ANOVA Decomposition for Categorical Inputs | Incentivizing Truthfulness and Collaborative Fairness in Bayesian Learning | Disentangling Latent Risk Pathways via Bayesian Hypergraph Inference | Detecting the Semantic Fixed Point: A Geometric Framework for Efficient Inference
1,language / language models / llms / large language,405,0.0611,12,0,0.0296,1.17,3497,8.63,0.0579,1398,language; language models; llms; large language; large; llm; reasoning; learning large; models llms; deep learning; deep; evaluation; generation; knowledge; training,Deep Learning (293); Social Aspects (29); General Machine Learning (25); Unknown (24); Applications (21),"LLM reasoning and test-time compute (323); Memorization, evaluation, and generalization (245); Safety, alignment, governance, and risk (153); Theory, optimization, and sampling (142); Agents, tools, and computer use (121)",LLMInertia: Adaptive Counter-Inertial Reasoning to Improve Evidence Faithfulness in Large Language Models | Learning Rewrite-Invariant Reasoning with Targeted Alternation Training | ToMAP: Training Opponent-Aware LLM Persuaders with Theory of Mind | Select to Think: Unlocking SLM Potential with Local Sufficiency | Benchmarking at the Edge of Comprehension | Generalized Correctness Models: Learning Calibrated and Cross-Model Correctness Predictors from Historical Patterns | Reasoning Models Are Test Exploiters: Rethinking Multiple Choice | How2Everything: Mining the Web for How-to Procedures to Evaluate and Improve LLMs,Skip a Layer or Loop It? Learning Program-of-Layers in LLMs | Mechanistic Data Attribution: Tracing the Training Origins of Interpretable LLM Units | Procedural Pretraining: Warming Up Language Models with Abstract Data | Midtraining Bridges Pretraining and Posttraining Distributions | TokSuite: Measuring the Impact of Tokenizer Choice on Language Model Behavior | Benchmarking at the Edge of Comprehension | Rare Event Analysis of Large Language Models | Evaluating Robustness of Reasoning Models on Parameterized Logical Problems
3,diffusion / generative / diffusion models / generative models,403,0.0608,7,1,0.0174,0.69,3641,9.03,0.0602,1457,diffusion; generative; diffusion models; generative models; autoencoders; generation; learning generative; models autoencoders; image; flow; sampling; matching; training; flow matching; guidance,Deep Learning (268); Applications (42); Unknown (35); Probabilistic Methods (20); Social Aspects (17),"Diffusion, flow, and generative modeling (399); Multimodal, vision-language, and video (238); Theory, optimization, and sampling (229); Agents, tools, and computer use (140); Systems, efficiency, and compression (136)",Overclocking Electrostatic Generative Models | Efficient Generative Modeling beyond Memoryless Diffusion via Adjoint Schrödinger Bridge Matching | Temporal Score Rescaling for Temperature Sampling in Diffusion and Flow Models | Ambient Dataloops: Generative Models for Dataset Refinement | Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers | CountsDiff: A diffusion model on the natural numbers for generation and imputation of count-based data | Variational Flow Maps: Make Some Noise for One-Step Conditional Generation | Rényi Diffusion Models,A Random Matrix Perspective on the Consistency of Diffusion Models | Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture | Orthogonal Concept Erasure for Diffusion Models | High-accuracy and dimension-free sampling with diffusions | Error Propagation Mechanisms and Compensation Strategies for Quantized Diffusion Models | Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers | GoodDiffusion: Proactive Copyright Protection for Diffusion Generative Models via Learnable Sample-specific Signatures | Self-Supervised Flow Matching for Scalable Multi-Modal Synthesis
9,theory / algorithm / optimal / regret,372,0.0561,15,1,0.0403,1.59,760,2.04,0.0126,402,theory; algorithm; optimal; regret; bounds; online; problem; optimization; algorithms; bound; bandits; mathcal; setting; linear; convergence,Theory (178); Optimization (59); General Machine Learning (41); Probabilistic Methods (36); Unknown (27),"Theory, optimization, and sampling (358); LLM reasoning and test-time compute (104); Safety, alignment, governance, and risk (97); Systems, efficiency, and compression (80); Memorization, evaluation, and generalization (80)",Randomized Feasibility Methods for Constrained Optimization with Adaptive Step Sizes | Learning the Best Under Constraints: A Duality-Based Framework | Decentralized Online Convex Optimization with Efficient Communication: Improved Algorithm and Lower Bounds | Optimal Design for Multinomial Logit Model with Applications to Best Assortment Identification | The Optimal Sample Complexity of Linear Contracts | Optimal Anytime Algorithms for Online Convex Optimization with Adversarial Constraints | Improved Dimension Dependence for Bandit Convex Optimization with Gradient Variations | Finite and Corruption-Robust Regret Bounds in Online Inverse Linear Optimization under M-Convex Action Sets,High-accuracy sampling for diffusion models and log-concave distributions | Mixtures Closest To A Given Measure: A Semidefinite Programming Approach | Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach | Optimal Decision-Making Based on Prediction Sets | Minimax Optimal Strategy for Delayed Observations in Online Reinforcement Learning | Joint Learning in the Gaussian Single Index Model | Nash Equilibria in Games with Playerwise Concave Coupling Constraints: Existence and Computation | Optimal and Scalable MAPF via Multi-Marginal Optimal Transport and Schrödinger Bridges
25,cross / semantic / label / extensive,368,0.0555,2,0,0.0054,0.21,664,1.8,0.011,385,cross; semantic; methods; label; extensive; class; multi; extensive experiments; feature; modal; data; detection; experiments; alignment; existing,Applications (138); General Machine Learning (95); Deep Learning (62); Unknown (41); Social Aspects (19),"Memorization, evaluation, and generalization (225); Multimodal, vision-language, and video (225); Safety, alignment, governance, and risk (206); Theory, optimization, and sampling (134); Agents, tools, and computer use (130)",MAGIC: Multi-Granularity Language-Informed Image Clustering | Bridging the Perceptual Gap: Residual-Enhanced Downscaling and Manifold-Aware Perception Alignment Adaptation for NR-IQA | From Coarse to Fine: Deep Prototype Refinement Network for Few-Shot Point Cloud Semantic Segmentation | [CLS] is Not Enough: Multi-Label Recognition via Patch-Level Inference and Adaptive Aggregation | PhaseAlign: Complex Phase Alignment for Stable Open-Vocabulary Semantic Segmentation | Structure-aware Granular-Ball based Information Bottleneck for Multi-modal Clustering | Unsupervised Camouflaged Object Detection with Dual-Eigenvector Spectral Pseudo-Labeling and Contrastive Refinement | Cross-View Lewis Weight Fusion Empowering Exemplar Replay for Federated Class-Incremental Learning,DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection | Multimodal Nested Learning for Decoupled and Coordinated Optimization | Unifying Heterogeneous Multi-Modal Remote Sensing Detection Via Language-Pivoted Pretraining | MUSE: Resolving Manifold Misalignment in Visual Tokenization via Topological Orthogonality | Is Training Necessary for Anomaly Detection? | GenShield: Unified Detection and Artifact Correction for AI-Generated Images | Any2Any: Unified Arbitrary Modality Translation for Remote Sensing | SleepLM: Natural-Language Intelligence for Human Sleep
11,agent / agents / multi agent / multi,362,0.0546,11,0,0.0304,1.2,6185,17.09,0.1023,2836,agent; agents; multi agent; multi; llm; agentic; llm agents; language; task; reasoning; large; execution; evaluation; benchmark; large language,Deep Learning (119); Applications (64); Reinforcement Learning (52); Social Aspects (46); Unknown (40),"Agents, tools, and computer use (359); Memorization, evaluation, and generalization (259); LLM reasoning and test-time compute (229); RL for LLMs and verifiable rewards (160); Safety, alignment, governance, and risk (120)","Investigating Component Contributions in Multi-Agent ML Systems | LLawCo: Learning Laws of Cooperation for Modeling Embodied Multi-Agent Behavior | More Capable, Less Cooperative? When LLMs Fail at Zero-Cost Collaboration | Agora: Toward Autonomous Bug Detection in Production-Level Consensus Protocols with LLM Agents | VeRO: An Evaluation Harness for Agents to Optimize Agents | MonoScale: Scaling Multi-Agent System with Monotonic Improvement | Multi-Agent Teams Hold Experts Back | AIR: Improving Agent Safety through Incident Response",$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics | CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability | daVinci-Dev: Agent-native Mid-training for Software Engineering | Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections | OMAC: A Holistic Optimization Framework for LLM-Based Multi-Agent Collaboration | Quantifying Frontier LLM Capabilities for Container Sandbox Escape | Unsupervised Partner Design Enables Robust Ad-hoc Teamwork
7,reinforcement learning / reinforcement / policy / rl,295,0.0445,7,0,0.0237,0.94,1731,5.87,0.0286,1034,reinforcement learning; reinforcement; policy; rl; policies; offline; value; deep rl; action; reward; learning rl; control; critic; based; learning reinforcement,Reinforcement Learning (229); Theory (27); Unknown (13); Applications (11); Deep Learning (8),"RL for LLMs and verifiable rewards (292); Theory, optimization, and sampling (157); Agents, tools, and computer use (153); Memorization, evaluation, and generalization (144); Systems, efficiency, and compression (128)",Harmonized Dual Policy Improvement for Model-based Reinforcement Learning | Policy-Driven World Model Adaptation for Robust Offline Model-based Reinforcement Learning | What Makes Value Learning Efficient in Residual Reinforcement Learning? | Performative Policy Gradient: Optimality in Performative Reinforcement Learning | On Computation and Reinforcement Learning | Multi-timescale Reinforcement Learning by Value Reconstruction | RN-D: Discretized Categorical Actors with Regularized Networks for On-Policy Reinforcement Learning | Robust Reinforcement Learning in a Sample-Efficient Setting,Maximum Likelihood Reinforcement Learning | Distributional Inverse Reinforcement Learning | On Computation and Reinforcement Learning | Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization | LASER: Learning Active Sensing for Continuum Field Reconstruction | Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks | Stabilizing the Q-Gradient Field for Policy Smoothness in Actor-Critic Methods | DADP: Domain Adaptive Diffusion Policy
4,visual / multimodal / reasoning / vision,290,0.0438,6,0,0.0207,0.82,2925,10.09,0.0484,1085,visual; multimodal; reasoning; vision; language; mllms; language models; vision language; large; multimodal large; image; understanding; large language; perception; text,Deep Learning (136); Applications (92); Unknown (31); General Machine Learning (14); Social Aspects (11),"Multimodal, vision-language, and video (290); Memorization, evaluation, and generalization (207); LLM reasoning and test-time compute (206); Agents, tools, and computer use (119); RL for LLMs and verifiable rewards (110)",Do Vision and Text Cues Exhibit Evidential Coupling? UFO: A Benchmark for Compositional Multimodal Reasoning in Unified Models | Look on Demand: A Cognitive Scheduling Framework for Visual Evidence Acquisition in Multimodal Reasoning | IVQA-LD: Inclusive Multimodal Understanding for Population with Limb-Deficiency | MoDA: Modulation Adapter for Fine-Grained Visual Understanding in Instructional MLLMs | DiffThinker: Towards Generative Multimodal Reasoning with Diffusion Models | MET-Bench: Multimodal Entity Tracking for Evaluating the Limitations of Vision-Language and Reasoning Models | Vision-DeepResearch: Incentivizing DeepResearch Capability in Multimodal Large Language Models | Seeing is Understanding: Unlocking Causal Attention into Modality-Mutual Attention for Multimodal LLMs,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning | Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination | Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning | PhotoAgent: Exploratory Visual Aesthetic Planning with Large Vision Models | DOUBT: Decoupled Object-level Understanding and Bridging via vMF-based Trustworthiness for Hallucination Detection in MLLMs | SpatioLM: Towards General Physical Spatial Intelligence in Vision-Language Models | Vision-aligned Latent Reasoning for Multi-Modal Large Language Model | From Correspondence to Actions: Human-Like Multi-Image Spatial Reasoning in Multi-modal Large Language Models
21,quantization / kv / memory / cache,260,0.0392,8,0,0.0308,1.21,3108,11.95,0.0514,1580,quantization; kv; memory; cache; inference; decoding; kv cache; language; bit; language models; large language; large; token; llm; times,Deep Learning (170); Unknown (38); General Machine Learning (27); Applications (16); Optimization (7),"Systems, efficiency, and compression (222); LLM reasoning and test-time compute (152); Theory, optimization, and sampling (107); Memorization, evaluation, and generalization (96); RL for LLMs and verifiable rewards (75)",RaBitQCache: Rotated Binary Quantization for KVCache in Long Context LLM Inference | S-Quant: Rethinking Weight Quantization with Seed-Based Generation | Faster Than Flash: Exploiting Attention Sparsity for Efficient Long-Context Decoding | ASTRA: Communication-Efficient Acceleration for Multi-Device Transformer Inference | QTALE: Quantization-Robust Token-Adaptive Layer Execution for LLMs | xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction | RelayCaching: Accelerating LLM Collaboration via Decoding KV Cache Reuse | Mosaic: Unlocking Over 30$\times$ Context Length for Diffusion LLMs Inference via Global Memory Planning and Dynamic Peak Taming,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference | FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU | ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation | FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs | ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training | Faster Activation Functions at the Edge for Post-Training Speedups | CAT-Q: Cost-efficient and Accurate Ternary Quantization for LLMs
6,reasoning / reinforcement / rl / reinforcement learning,253,0.0382,5,1,0.0198,0.78,8329,32.92,0.1378,3427,reasoning; reinforcement; rl; reinforcement learning; policy; grpo; policy optimization; rewards; reward; language; large language; large; training; language models; optimization,Deep Learning (162); Reinforcement Learning (38); Unknown (29); Applications (13); Theory (4),"LLM reasoning and test-time compute (239); RL for LLMs and verifiable rewards (234); Theory, optimization, and sampling (184); Memorization, evaluation, and generalization (156); Systems, efficiency, and compression (129)","Experience Augmented Policy Optimization for LLM Reasoning | EAPO: Enhancing Policy Optimization with On-Demand Expert Assistance | SetPO: Set-Level Policy Optimization for Diversity-Preserving LLM Reasoning | Prioritize the Process, Not Just the Outcome: Rewarding Latent Thought Trajectories Improves Reasoning in Looped Language Models | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization | Resource-Efficient Reinforcement for Reasoning Large Language Models via Dynamic One-Shot Policy Refinement | EchoRL: Reinforcement Learning via Rollout Echoing | Not All Rollouts are Useful: Down-Sampling Rollouts in LLM Reinforcement Learning","The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models | Reinforcement Learning with Evolving Rubrics for Deep Research | Characterizing, Evaluating, and Optimizing Complex Reasoning | The Signal is in the Steps: Local Scoring for Reasoning Data Selection | Modeling Hierarchical Thinking in Large Reasoning Models | Reinforcement Learning via Self-Distillation | Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization"
22,gradient / networks / optimization / neural networks,248,0.0374,7,1,0.0282,1.11,1752,7.06,0.029,675,gradient; networks; neural; optimization; neural networks; descent; stochastic; convergence; theory; training; gradient descent; theoretical; deep; network; loss,Deep Learning (77); Optimization (69); Theory (48); General Machine Learning (20); Unknown (19),"Theory, optimization, and sampling (217); Memorization, evaluation, and generalization (78); Safety, alignment, governance, and risk (78); Systems, efficiency, and compression (77); Interpretability and mechanistic analysis (57)",Safeguarded Stochastic Polyak Step Sizes for Non-smooth Optimization: Robust Performance Without Small (Sub)Gradients | Rethinking Neural Network Learning Rates: A Stackelberg Perspective | On the Convergence of Steepest Descent and Adaptive Gradient Methods under Non-Uniform Smoothness | Adaptive Momentum and Nonlinear Damping for Neural Network Training | Gradient Descent as a Perceptron Algorithm: Understanding Dynamics and Implicit Acceleration | Width Independent Bounds for the Local Lipschitz Constant of Deep Neural Networks at Random Initialization and after Lazy Training | Flatland: The Adventures of Gradient Descent with Large Step Sizes | Revisiting the Volume Hypothesis,To Grok Grokking: Provable Grokking in Ridge Regression | Controlled LLM Training on Spectral Sphere | SoftJAX & SoftTorch: Empowering Automatic Differentiation Libraries with Informative Gradients | Non-Euclidean Gradient Descent Operates at the Edge of Stability | On the Convergence Rate of LoRA Gradient Descent | SVRG and Beyond via Posterior Correction | On Minimum Depth and Width of Floating-Point Neural Networks for Representing Floating-Point Functions | Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights
