event_id,event_type,title,decision,topic,session,starttime,endtime,url,paper_url,authors,institutions
64393,Poster,TVI-CoT: Text-Visual Interleaved Chain-of-Thought Reasoning for Multimodal Understanding,Accept (regular),Deep Learning->Foundation Models,Poster Session 2,2026-07-06T22:00:00-07:00,2026-07-06T23:45:00-07:00,https://icml.cc/virtual/2026/poster/64393,https://openreview.net/forum?id=O4PweOea13,Lianyu Hu; Xiaoyu Ma; Zeqin Liao; Yang Liu,"Nanyang Technological University; Nanyang Technology University, Singapore"
65214,Poster,RubricRobustness: A Simple Framework for Evaluating the Robustness of Rubrics-Based Benchmarks,Accept (regular),,Poster Session 6,2026-07-08T18:30:00-07:00,2026-07-08T20:15:00-07:00,https://icml.cc/virtual/2026/poster/65214,https://openreview.net/forum?id=FjNE0snESh,Manasi Sharma,Scale AI
64134,Poster,SAQNN: Spectral Adaptive Quantum Neural Network as a Universal Approximator,Accept (regular),Theory->Learning Theory,Poster Session 1,2026-07-06T18:30:00-07:00,2026-07-06T20:15:00-07:00,https://icml.cc/virtual/2026/poster/64134,https://openreview.net/forum?id=QaHFVheV8X,Jialiang Tang; Jialin Zhang; Xiaoming Sun,"Institute of Computing Technology, CAS; Institute of Computing Technology, Chinese Academy of Sciences"
60769,Poster,ProjQ: Project-and-Quantize for Adapter-Aware LLM Compression,Accept (regular),Deep Learning->Large Language Models,Poster Session 5,2026-07-08T01:00:00-07:00,2026-07-08T02:45:00-07:00,https://icml.cc/virtual/2026/poster/60769,https://openreview.net/forum?id=wqhWZhfaWK,Wenya Yu; Chao Zhang; Li Wang; Samson Lasaulce; Merouane DEBBAH,"Central South University; Khalifa University of Science, Technology and Research; Université de Lorraine"
65893,Poster,SafeSearch: Automated Red-Teaming of LLM-Based Search Agents,Accept (regular),Social Aspects->Safety,,,,https://icml.cc/virtual/2026/poster/65893,https://openreview.net/forum?id=95VVL0TJNH,Jianshuo Dong; Sheng Guo; Hao Wang; Xun Chen; Zhuotao Liu; Tianwei Zhang; Ke Xu; Minlie Huang; Han Qiu,"Bytedance; Nanyang Technological University; Peking University; Tsinghua University; Tsinghua University, Tsinghua University"
66626,Poster,SpreadsheetArena: Decomposing Preference in LLM Generation of Spreadsheet Workbooks,Accept (regular),Applications->Everything Else,Poster Session 1,2026-07-06T18:30:00-07:00,2026-07-06T20:15:00-07:00,https://icml.cc/virtual/2026/poster/66626,https://openreview.net/forum?id=20x0qoSG2f,Srivatsa Kundurthy; Clara Na; Michael Handley; Zach Kirshner; Chen Bo Calvin Zhang; Manasi Sharma; Emma Strubell; John Ling,Carnegie Mellon University; ETH Zurich; Longitude Labs Inc; Longitude Labs Inc.; Meridian; Scale AI; Stanford University
62616,Poster,SCRWKV: Ultra-Compact Structure-Calibrated Vision-RWKV for Topological Crack Segmentation,Accept (regular),Applications->Computer Vision,Poster Session 2,2026-07-06T22:00:00-07:00,2026-07-06T23:45:00-07:00,https://icml.cc/virtual/2026/poster/62616,https://openreview.net/forum?id=f0RjWJig9V,Hanxu Zhang; Chen Jia; Hui Liu; Xu Cheng; Fan Shi; Shengyong Chen,Tianjin University of Technology
67185,Poster,"Position: Generative Engine Optimization Creates Underexamined Risks, Governance Must Target Concentration, Disclosure, and Academic Blind Spots",Accept (regular),Social Aspects->Safety,,,,https://icml.cc/virtual/2026/poster/67185,https://openreview.net/forum?id=JtCGlaLQxv,Yizhu Wen; Nan Zhang; Haohan Yuan; Xun Chen; Haopeng Zhang; Hanqing Guo,Bytedance; Indiana University Bloomington; Michigan State University; University of Hawaii; University of Hawaii System
64846,Poster,A robust PPG foundation model using multimodal physiological supervision,Accept (regular),Applications->Health / Medicine,Poster Session 7,2026-07-08T22:30:00-07:00,2026-07-09T00:15:00-07:00,https://icml.cc/virtual/2026/poster/64846,https://openreview.net/forum?id=JF4045xnhl,Eloy Geenjaar; Vince Calhoun; scott daly; Gouthaman KV; Lie Lu; Trisha Mittal; Daniel P. Darcy,Dolby; Dolby Laboratories; Dolby Labs; Georgia Institute of Technology; TReNDS; dolby
61057,Poster,Flat Minima and Generalization: Insights from Stochastic Convex Optimization,Accept (regular),Theory->Optimization,Poster Session 1,2026-07-06T18:30:00-07:00,2026-07-06T20:15:00-07:00,https://icml.cc/virtual/2026/poster/61057,https://openreview.net/forum?id=u6zp8zZ8Ou,Matan Schliserman; Shira Vansover-Hager; Tomer Koren,Tel Aviv University; Tel Aviv University & Google Research
