institution_a,institution_b,shared_paper_count
Chinese Academy of Sciences,University of Chinese Academy of Sciences,91
Peking University,Tsinghua University,56
Hong Kong University of Science and Technology,The Chinese University of Hong Kong,47
Shanghai AI Laboratory,Shanghai Jiao Tong University,46
Zhejiang University,Alibaba,46
Tsinghua University,Shanghai Jiao Tong University,40
Google,Google DeepMind,39
Shanghai Jiao Tong University,Fudan University,38
Tsinghua University,Alibaba,37
Chinese Academy of Sciences,Peking University,33
Tsinghua University,Zhejiang University,33
Shanghai AI Laboratory,Fudan University,30
Nanyang Technological University,National University of Singapore,29
Chinese Academy of Sciences,Tsinghua University,29
Peking University,Shanghai Jiao Tong University,29
ByteDance,Tsinghua University,27
Tsinghua University,University of Science and Technology of China,27
Shanghai AI Laboratory,The Chinese University of Hong Kong,27
Shanghai Jiao Tong University,The Chinese University of Hong Kong,27
Peking University,Hong Kong University of Science and Technology,26
Peking University,Zhejiang University,26
Harbin Institute of Technology,Harbin Institute of Technology (Shenzhen),26
ByteDance,Peking University,25
Peking University,University of Science and Technology of China,25
Shanghai Jiao Tong University,Alibaba,25
Zhejiang University,The Chinese University of Hong Kong,25
Tsinghua University,The Chinese University of Hong Kong,24
Harvard University,MIT,24
Shanghai Jiao Tong University,Zhejiang University,24
University of Science and Technology of China,Alibaba,24
MBZUAI,Mohamed bin Zayed University of Artificial Intelligence,24
Peking University,Tencent,23
Harbin Institute of Technology,"Harbin Institute of Technology, Shenzhen",23
Peking University,Alibaba,22
Tsinghua University,Hong Kong University of Science and Technology,22
Hong Kong University of Science and Technology,Zhejiang University,22
National University of Singapore,University of Science and Technology of China,22
Fudan University,Zhejiang University,22
Nanyang Technological University,Tsinghua University,21
ByteDance,Hong Kong University of Science and Technology,21
Peking University,The Chinese University of Hong Kong,21
Tsinghua University,Shanghai AI Laboratory,21
Tsinghua University,Fudan University,21
Tencent,Zhejiang University,21
Shanghai AI Laboratory,University of Science and Technology of China,21
Shanghai Jiao Tong University,University of Science and Technology of China,21
National University of Singapore,Zhejiang University,21
Fudan University,The Chinese University of Hong Kong,21
SUN YAT-SEN UNIVERSITY,Sun Yat-sen University,21
Chinese Academy of Sciences,Alibaba,20
Peking University,National University of Singapore,20
Tsinghua University,National University of Singapore,20
Carnegie Mellon University,UC Berkeley,20
UCLA,"University of California, Los Angeles",20
Chinese Academy of Sciences,University of Science and Technology of China,19
ByteDance,The Chinese University of Hong Kong,19
ByteDance,University of Hong Kong,19
Peking University,Shanghai AI Laboratory,19
Tsinghua University,Beihang University,19
Tsinghua University,University of Chinese Academy of Sciences,19
Tsinghua University,Tencent,19
Stanford University,UC Berkeley,19
University of Hong Kong,Hong Kong University of Science and Technology,19
Tencent,The Chinese University of Hong Kong,19
Hong Kong University of Science and Technology,Alibaba,19
National University of Singapore,The Chinese University of Hong Kong,19
Fudan University,Alibaba,19
Huawei,The Chinese University of Hong Kong,19
Nanyang Technological University,Zhejiang University,18
Peking University,University of Chinese Academy of Sciences,18
University of Hong Kong,Zhejiang University,18
Tencent,Shanghai Jiao Tong University,18
Beijing University of Post and Telecommunications,Beijing University of Posts and Telecommunications,18
The University of Sydney,University of Sydney,18
Chinese Academy of Sciences,National University of Singapore,17
Chinese Academy of Sciences,Zhejiang University,17
Peking University,Nanjing University,17
University of Hong Kong,The Chinese University of Hong Kong,17
Tencent,Fudan University,17
Hong Kong University of Science and Technology,University of Science and Technology of China,17
Shanghai AI Laboratory,Zhejiang University,17
Shanghai Jiao Tong University,National University of Singapore,17
University of Science and Technology of China,The Chinese University of Hong Kong,17
Nanyang Technological University,Peking University,16
Nanyang Technological University,Alibaba,16
Chinese Academy of Sciences,"Institute of automation, Chinese academy of science",16
Peking University,University of Hong Kong,16
Tsinghua University,Microsoft,16
Carnegie Mellon University,Stanford University,16
Stanford University,University of Washington,16
Hong Kong University of Science and Technology,National University of Singapore,16
Hong Kong University of Science and Technology,Shanghai Jiao Tong University,16
Zhejiang University,Nanjing University,16
Xidian University,Xi'an University of Electronic Science and Technology,16
Hong Kong Polytechnic University,The Hong Kong Polytechnic University,16
Chinese Academy of Sciences,ByteDance,15
ByteDance,Zhejiang University,15
Peking University,Fudan University,15
Tsinghua University,Renmin University of China,15
Tencent,Hong Kong University of Science and Technology,15
Shanghai AI Laboratory,Nanjing University,15
University of Science and Technology of China,Zhejiang University,15
EPFL,EPFL - EPF Lausanne,15
"University of Virginia, Charlottesville",University of Virginia,15
