institution,paper_count
Tsinghua University,323
Peking University,321
Zhejiang University,277
University of Science and Technology of China,206
Shanghai Jiao Tong University,203
National University of Singapore,200
Fudan University,196
Shanghai Jiaotong University,191
Nanyang Technological University,185
"Tsinghua University, Tsinghua University",169
Alibaba Group,157
Carnegie Mellon University,156
Stanford University,154
The Chinese University of Hong Kong,150
Nanjing University,133
Massachusetts Institute of Technology,132
Google,124
The Hong Kong University of Science and Technology,123
University of Oxford,121
ByteDance Inc.,118
"University of California, Berkeley",111
MIT,103
University of the Chinese Academy of Sciences,102
Harbin Institute of Technology,99
Hong Kong University of Science and Technology,96
Microsoft,96
University of Cambridge,91
University of Electronic Science and Technology of China,91
Google DeepMind,91
Georgia Institute of Technology,89
Harvard University,88
Beihang University,86
KAIST,86
ETH Zurich,84
Huawei Technologies Ltd.,82
Princeton University,80
Amazon,79
Tencent,78
Shanghai Artificial Intelligence Laboratory,78
Meta,78
Huazhong University of Science and Technology,77
The University of Hong Kong,76
New York University,75
"University of California, San Diego",73
"The Chinese University of Hong Kong, Shenzhen",73
Seoul National University,72
Renmin University of China,71
University of Illinois at Urbana-Champaign,71
Beijing University of Posts and Telecommunications,71
Tongji University,70
Beijing University of Aeronautics and Astronautics,69
Johns Hopkins University,68
Tianjin University,68
SUN YAT-SEN UNIVERSITY,67
University of Hong Kong,66
Columbia University,66
Yale University,66
Mohamed bin Zayed University of Artificial Intelligence,65
University of Washington,65
Wuhan University,65
"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",65
Korea Advanced Institute of Science & Technology,64
NVIDIA,64
UC Berkeley,63
East China Normal University,63
Southeast University,62
Imperial College London,62
City University of Hong Kong,62
The Hong Kong University of Science and Technology (Guangzhou),62
Northeastern University,62
nanjing university,61
"University of California, Los Angeles",61
National University of Defense Technology,60
Xi'an Jiaotong University,60
University of Toronto,58
Cornell University,58
Xiamen University,56
University of Chinese Academy of Sciences,55
"Institute of Automation, Chinese Academy of Sciences",55
EPFL,54
Ant Group,54
Hong Kong Polytechnic University,53
Sichuan University,53
ETHZ - ETH Zurich,52
University of Southern California,51
South China University of Technology,51
University of Chicago,51
Beijing Institute of Technology,50
University of Texas at Austin,50
"University of Maryland, College Park",49
Shanghai AI Laboratory,48
Shandong University,47
Facebook,47
Google Research,47
University of Pennsylvania,47
University College London,46
Microsoft Research,46
"Institute of Computing Technology, Chinese Academy of Sciences",45
Microsoft Research Asia,45
University of Michigan,44
Technical University of Munich,44
Nanjing University of Science and Technology,44
Apple,42
University of Illinois Urbana-Champaign,41
Purdue University,41
University of Michigan - Ann Arbor,41
Southern University of Science and Technology,41
Jilin University,41
"Harbin Institute of Technology, Shenzhen",41
Xidian University,40
Northwestern University,40
Duke University,39
Sun Yat-sen University,39
Meituan,39
Central South University,37
Chinese Academy of Sciences,37
University of North Carolina at Chapel Hill,37
Harbin Institute of Technology (Shenzhen),37
"CMU, Carnegie Mellon University",36
The University of Sydney,36
Shenzhen University,35
UCLA,35
MBZUAI,35
HKUST,35
Shanghai University of Finance and Economics,35
Yonsei University,34
ByteDance,34
Monash University,34
Westlake University,34
Nankai University,34
INRIA,34
Beijing Jiaotong University,33
University of Wisconsin - Madison,33
University of Edinburgh,33
University of Sydney,33
University of British Columbia,32
Hong Kong University of Science and Technology (Guangzhou),32
Beijing University of Post and Telecommunications,32
McGill University,32
Northwest Polytechnical University Xi'an,30
University of Amsterdam,29
University of Virginia,29
The Hong Kong Polytechnic University,28
UIUC,28
Singapore Management University,28
"Department of Computer Science and Engineering, The Chinese University of Hong Kong",28
Technische Universität München,28
University of Melbourne,28
Korea University,28
Beijing Normal University,27
University of Central Florida,27
University of Waterloo,26
Xi'an University of Electronic Science and Technology,26
The University of Tokyo,26
Université de Montréal,26
Huawei Noah's Ark Lab,26
University of Technology Sydney,26
ShanghaiTech University,26
IBM Research,26
Bytedance,25
Anthropic,25
Rutgers University,25
The University of Texas at Austin,25
Rice University,25
Korea Advanced Institute of Science and Technology,25
CUHK,25
University of Tübingen,25
Harvard,24
Sun Yat-Sen University,24
University of Macau,24
"University of Virginia, Charlottesville",24
Tencent AI Lab,24
RIKEN,24
Emory University,23
KAUST,23
"Institute of Software, Chinese Academy of Sciences",23
Nanjing University of Aeronautics and Astronautics,23
Dalian University of Technology,23
"University College London, University of London",23
"Institute of Information Engineering, Chinese Academy of Sciences",23
University of California Berkeley,23
Shanxi University,23
Tel Aviv University,22
Ludwig-Maximilians-Universität München,22
Nanjing university,22
Pennsylvania State University,22
Aalto University,22
Georgia Tech,22
Independent,22
Kuaishou- 快手科技,21
Arizona State University,21
"Computer Science Department, Stanford University",21
Singapore University of Technology and Design,21
EPFL - EPF Lausanne,21
Baidu,21
California Institute of Technology,21
"School of Computer Science, Carnegie Mellon University",21
KTH Royal Institute of Technology,21
OpenAI,21
Texas A&M University,20
