theme,rank,title,award,is_oral,public_total_votes,visits_last_7_days,github_stars,score,official_topic,url,alphaxiv_url
"Memorization, evaluation, and generalization",1,How much can language models memorize?,Outstanding Paper Honorable Mention,true,271,374,2,6.6544,,https://icml.cc/virtual/2026/poster/62989,https://www.alphaxiv.org/abs/2505.24832
"Memorization, evaluation, and generalization",2,High-accuracy sampling for diffusion models and log-concave distributions,Outstanding Paper Award,true,9,183,0,5.8211,Probabilistic Methods->Monte Carlo and Sampling Methods,https://icml.cc/virtual/2026/poster/65132,https://www.alphaxiv.org/abs/2602.01338
"Memorization, evaluation, and generalization",3,To Grok Grokking: Provable Grokking in Ridge Regression,Outstanding Paper Honorable Mention,true,7,105,0,5.6863,Theory->Learning Theory,https://icml.cc/virtual/2026/poster/66206,https://www.alphaxiv.org/abs/2601.19791
"Memorization, evaluation, and generalization",4,A Random Matrix Perspective on the Consistency of Diffusion Models,Outstanding Paper Honorable Mention,true,14,96,0,5.6787,Deep Learning->Generative Models and Autoencoders,https://icml.cc/virtual/2026/poster/62241,https://www.alphaxiv.org/abs/2602.02908
"Memorization, evaluation, and generalization",5,Process Reward Models That Think,,false,1815,361,89,3.5139,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/68817,https://www.alphaxiv.org/abs/2504.16828
"Memorization, evaluation, and generalization",6,Reinforcement Learning with Evolving Rubrics for Deep Research,,true,201,154,682,3.2887,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399
"Memorization, evaluation, and generalization",7,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,,true,14,39,5069,3.288,Applications->Robotics,https://icml.cc/virtual/2026/poster/66596,https://www.alphaxiv.org/abs/2605.22671
"Memorization, evaluation, and generalization",8,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,,true,89,91,1569,3.2246,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/64377,https://www.alphaxiv.org/abs/2506.07982
"Memorization, evaluation, and generalization",9,Monitoring Monitorability,,true,28,17,2786,3.1463,,https://icml.cc/virtual/2026/poster/62992,https://www.alphaxiv.org/abs/2512.18311
"Memorization, evaluation, and generalization",10,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,,true,89,40,1228,3.0889,,https://icml.cc/virtual/2026/poster/63095,https://www.alphaxiv.org/abs/2511.19900
"Memorization, evaluation, and generalization",11,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,,true,0,13,1013,2.9064,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/62831,https://www.alphaxiv.org/abs/2604.06182
"Memorization, evaluation, and generalization",12,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,,true,60,17,644,2.8889,,https://icml.cc/virtual/2026/poster/64095,https://www.alphaxiv.org/abs/2512.22737
"Theory, optimization, and sampling",1,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,Outstanding Paper Award,true,92,588,212,7.6736,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165
"Theory, optimization, and sampling",2,High-accuracy sampling for diffusion models and log-concave distributions,Outstanding Paper Award,true,9,183,0,5.8211,Probabilistic Methods->Monte Carlo and Sampling Methods,https://icml.cc/virtual/2026/poster/65132,https://www.alphaxiv.org/abs/2602.01338
